,Un misil en mi placard,Te hacen falta vitaminas,Mi novia tiene biceps,Trátame suavemente,Disco Eterno,Ni un segundo,Afrodisíacos,Dietético,El tiempo es dinero,Por qué no puedo ser del jet set?,Cuando pase el temblor,Nada personal,Juegos de seducción,Imágenes retro,Danza rota,Estoy azulado,Observándonos,Ecos,Si no fuera por,Sin sobresaltos,En camino,Final caja negra,Prófugos,Persiana americana,Signos,El rito,No existes,Día común,En la ciudad de la furia,Lo que sangra,Corazón delator,Sobredosis de TV,En el borde,Picnic en el 4to B,El ritmo de tus ojos,Terapia de amor intensiva,Los languidecientes
Un misil en mi placard,1.0,0.2263963893166149,0.30914428625151424,0.0,0.225230806071192,0.16776132291102325,0.0,0.0,0.0,0.14633104147922651,0.0,0.0,0.0,0.0,0.0,0.0,0.0728771015262982,0.0,0.0,0.15511389881425647,0.0,0.15966311890428356,0.0,0.0,0.0,0.09162248023349286,0.0,0.088128632164424,0.0,0.10040805145498918,0.10055370575185002,0.19070726112004932,0.0,0.0,0.0,0.0,0.0
Te hacen falta vitaminas,0.2263963893166149,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.22183134587068518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14922895491081412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1425192025522836,0.0,0.21460899628130842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mi novia tiene biceps,0.30914428625151424,0.0,1.0000000000000002,0.17809495022480265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3615951179727399,0.0,0.0,0.39087328363368495,0.0,0.0,0.18563232630089094,0.11104630943514371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12016318533291936,0.1203374968947374,0.22822862938013183,0.0,0.0,0.0,0.0,0.0
Trátame suavemente,0.0,0.0,0.17809495022480265,1.0,0.0,0.0,0.0,0.0,0.0,0.26693429500371774,0.30257810867187473,0.0,0.1355369728432359,0.0,0.0,0.0,0.273372380599298,0.0,0.0,0.0,0.0,0.0,0.0,0.1375908900921758,0.0,0.0,0.0,0.0,0.41797525023503457,0.13691481249982723,0.0,0.0,0.0,0.0,0.25321968478930357,0.0,0.0
Disco Eterno,0.225230806071192,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.23861005529684612,0.0,0.0,0.0,0.0,0.2765855336556622,0.0,0.0,0.1839642710851227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2299303388759175,0.0,0.0,0.0
Ni un segundo,0.16776132291102325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3197995581253906,0.0,0.0,0.11856846682489894,0.0,0.0,0.0,0.16017322893856775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2118523357554664,0.0,0.0,0.0,0.0,0.0,0.2175318578879596,0.12212776498687243,0.0,0.0,0.0,0.0,0.0,0.18075460072388644
Afrodisíacos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17428269982318284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2176534946329881,0.0,0.0,0.0,0.0,0.0,0.0,0.27601109309708843,0.0,0.20295724766218803,0.33242355669945906,0.0,0.0,0.0,0.11516675521881496,0.17976073665933212,0.0
Dietético,0.0,0.22183134587068518,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15028750732479704,0.0,0.0,0.2472723336629797,0.0,0.0,0.2120278330541813,0.10920533072008747,0.0,0.0,0.0,0.09529884873067268,0.0,0.1708962004417319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20444287977742048,0.0,0.0,0.3477431056387951,0.0
El tiempo es dinero,0.0,0.0,0.0,0.0,0.0,0.3197995581253906,0.0,0.0,1.0,0.10146872971144384,0.16806082248736567,0.0,0.0,0.14566309807900554,0.0,0.22226925013788387,0.0,0.08184113631333635,0.1709273438163269,0.0,0.0,0.0,0.2677771130342183,0.0,0.0,0.06353277191445528,0.0,0.14182229048984973,0.0,0.19814886191886458,0.0,0.11395532034465225,0.0,0.0,0.08410455623244728,0.0,0.2549352162301431
Por qué no puedo ser del jet set?,0.14633104147922651,0.0,0.0,0.26693429500371774,0.23861005529684612,0.0,0.0,0.15028750732479704,0.10146872971144384,1.0000000000000002,0.18488667939580422,0.0,0.22565254948312327,0.0,0.0,0.0,0.06973593995516414,0.2456744176905259,0.0,0.0,0.06085558964069898,0.0,0.1091302695022942,0.0,0.0,0.19071554290975,0.0,0.0,0.0,0.0,0.0,0.3420762251054881,0.13055238507506822,0.0,0.0,0.222060518243444,0.0
Cuando pase el temblor,0.0,0.0,0.0,0.30257810867187473,0.0,0.0,0.0,0.0,0.16806082248736567,0.18488667939580422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14912314339582775,0.0,0.0,0.0,0.0,0.0,0.1390456022584682,0.0,0.11576338114687042,0.0,0.0,0.29049673057257025,0.13836237667617432,0.3493347268740836,0.2076385585778325,0.0,0.0,0.0,0.0,0.0
Nada personal,0.0,0.0,0.0,0.0,0.0,0.11856846682489894,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18308224797503234,0.0,0.0,0.0,0.4956484728121578,0.0,0.0,0.0,0.0,0.0,0.0,0.10518417217733066
Juegos de seducción,0.0,0.0,0.0,0.1355369728432359,0.0,0.0,0.17428269982318284,0.2472723336629797,0.0,0.22565254948312327,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18870899812520675,0.14541649680504026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260041431153312,0.24379622347608354,0.1773334776595197,0.0,0.0,0.04687106179042515,0.21317559235725073,0.0
Imágenes retro,0.0,0.0,0.3615951179727399,0.0,0.0,0.0,0.0,0.0,0.14566309807900554,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0949010581471233,0.0,0.22685872839296278,0.0,0.0,0.0,0.0,0.0,0.09923119852413993,0.12995815531805488,0.0,0.0,0.17498896017447468,0.0,0.0,0.0,0.0,0.0,0.099428940232968,0.0,0.0,0.0
Danza rota,0.0,0.0,0.0,0.0,0.2765855336556622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.2364914042461198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12348088989939954,0.0,0.3493326181417357,0.1528964989951734,0.36846706963576564,0.13448814324630584,0.0
Estoy azulado,0.0,0.14922895491081412,0.0,0.0,0.0,0.16017322893856775,0.0,0.2120278330541813,0.22226925013788387,0.0,0.0,0.0,0.0,0.0949010581471233,0.0,0.9999999999999996,0.0,0.0921726995683897,0.0,0.0,0.14536678318059504,0.0,0.0,0.0,0.07714423687771799,0.22624093530032197,0.13761544750085541,0.0,0.0,0.09924386140522028,0.0,0.0,0.0,0.0,0.07691776676379983,0.12005890405942814,0.0
Observándonos,0.0728771015262982,0.0,0.39087328363368495,0.273372380599298,0.0,0.0,0.0,0.10920533072008747,0.0,0.06973593995516414,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.11940777926544914,0.044220274267480174,0.0,0.07929872139548047,0.0,0.0,0.0,0.0,0.0,0.0,0.07729483003304703,0.0,0.1468078019714392,0.09486494680896651,0.2823550895483309,0.0,0.16135867023358433,0.0
